Name	Address	latitude	longitude
Green Tea Expresso Bar	47954 Warm Springs Blvd, Fremont	37.494692	-121.932546
Tarotaro Dessert & Tea House	6018 Stevenson Blvd, Fremont	37.542382	-121.972562
i-Tea	43421 Christy St, Fremont	37.505638	-121.971565
uRbain tea	1590 Washington Blvd, Fremont	37.532865	-121.955551
Tea Ren Tea Co	3288 Pierce St, Richmond	37.899234	-122.309012
Quickly	3288 Pierce St, Richmond	37.899234	-122.309012
Sunny Day Sweet House	3288 Pierce St, Richmond	37.899234	-122.309012
Tea Delight	650 Central Ave, Alameda	37.755962	-122.228726
i-Tea	1626 Park St, Alameda	37.766898	-122.240398
Bamboo	1321 Park St, Alameda	37.763104	-122.243833
T4	1431 A Park St, Alameda	37.758019	-122.248031
Tapioca Express	2306 Encinal Ave, Alameda	37.762829	-122.245262
Sharetea	2670 5th St, Alameda	37.867565	-122.298768
Teazzert	1342 Park St, Alameda	37.763467	-122.243279
Teaway	2402 Central Ave, Alameda	37.755962	-122.228726
Tapioca Express	1707 Decoto Rd, Union City	37.598485	-122.017678
Sharetea	34391 Alvarado-Niles Rd, Union City	37.587079	-122.02269
Mr Green Bubble	1644 Decoto Rd, Union City	37.598485	-122.017678
Sno-Crave Teahouse	1788 Decoto Rd, Union City	37.588046	-122.019563
T4	1443 E 14th St, San Leandro	37.724113	-122.154403
8-Twelve Oriental Market	596 E 14th St, San Leandro	37.713195	-122.139787
Sharetea	699 Lewelling Blvd, San Leandro	37.68938	-122.138222
Quickly	15251 Hesperian Blvd, San Leandro	37.705352	-122.130038
N Tea	699 Lewelling Blvd, San Leandro	37.68938	-122.138222
i-Tea	177 Pelton Ctr Way, San Leandro	37.722858	-122.153705
Sweethoney Dessert	1423 E 14th St, San Leandro	37.724076	-122.154766
D T Dim Sum & Tea	1970 Lewelling Blvd, San Leandro	37.679193	-122.158271
East 14th Bakery & Cafe	1780 East 14th Street, San Leandro	37.721478	-122.15116
Milk Tea Lab	1972 Contra Costa Blvd, Pleasant Hill	37.950334	-122.060069
Quickly	60-A Golf Club Rd, Pleasant Hill	37.971533	-122.069051
T4	4532 Lone Tree Way, Antioch	37.987932	-121.80705
Quickly	212 E 18th St, Antioch	38.004813	-121.800086
Quickly	2415 Empire Ave, Brentwood	37.958307	-121.732328
E Tea	3860 Balfour Rd, Brentwood	37.925262	-121.723613
West	4233 Rosewood Dr, Pleasanton	37.701102	-121.877628
Kung Fu Tea	4299 Rosewood Dr, Pleasanton	37.699587	-121.873258
Tea Breeze	4275 Rosewood Dr, Pleasanton	37.700702	-121.876335
Aroma Tapioca Tea & Coffee	4833 Hopyard Rd, Pleasanton	37.692007	-121.903438
The Tea	4299 Rosewood Dr, Pleasanton	37.699587	-121.873258
Quickly	1106 E Stanley Blvd, Livermore	37.67874	-121.783827
i-Tea	2612 Livermore Outlets Dr, Livermore	37.698016	-121.840459
T4	4010 E Ave., Livermore	37.679816	-121.723837
Fat Straw Cafe	980 Murrieta Blvd, Livermore	37.676029	-121.78313
Eko Coffee Bar & Tea House	1075 B St, Hayward	37.673644	-122.081403
Teaster	410 W A St, Hayward	37.666195	-122.108936
Quickly	25034 Hesperian Blvd, Hayward	37.65305	-122.110119
So Charm	22580 Foothill Blvd, Hayward	37.67721	-122.083334
T4	1033 B St, Hayward	37.673209	-122.08202
